ins_addr,mnemonic,op_str,global_off,context
0x0a24,push,word ptr [0x5b44],0x5b44,"0x0a1d:cmp word ptr [0x5b44], 0x20 || 0x0a22:jbe 0xa38 || 0x0a24:push word ptr [0x5b44] || 0x0a28:push ds || 0x0a29:push 0x5af"
0x0a38,mov,"cx, word ptr [0x5b68]",0x5b68,"0x0a31:add sp, 6 || 0x0a34:inc word ptr [0xa0] || 0x0a38:mov cx, word ptr [0x5b68] || 0x0a3c:and cx, 0x783c || 0x0a40:je 0xa53"
0x0b64,mov,"ax, word ptr [0x5b76]",0x5b76,"0x0b5c:lcall 0x3f7, 0x752 || 0x0b61:add sp, 4 || 0x0b64:mov ax, word ptr [0x5b76] || 0x0b67:shl ax, 0xb || 0x0b6a:push ax"
0x0b8e,mov,"ax, word ptr [0x5b76]",0x5b76,"0x0b86:lcall 0x3f7, 0x1736 || 0x0b8b:add sp, 4 || 0x0b8e:mov ax, word ptr [0x5b76] || 0x0b91:shl ax, 0xb || 0x0b94:push ax"
0x0bbc,mov,"cx, word ptr [0x5b76]",0x5b76,"0x0bb8:jmp 0xbd2 || 0x0bba:xor ax, ax || 0x0bbc:mov cx, word ptr [0x5b76] || 0x0bc0:mov bx, word ptr [0x8a] || 0x0bc4:shl cx, 0xb"
0x0bd2,mov,"ax, word ptr [0x5b76]",0x5b76,"0x0bcf:jae 0xbd2 || 0x0bd1:stosb byte ptr es:[di], al || 0x0bd2:mov ax, word ptr [0x5b76] || 0x0bd5:add ax, ax || 0x0bd7:push ax"
0x0c00,mov,"cx, word ptr [0x5b76]",0x5b76,"0x0bfd:nop  || 0x0bfe:xor ax, ax || 0x0c00:mov cx, word ptr [0x5b76] || 0x0c04:mov bx, word ptr [0x96] || 0x0c08:add cx, cx"
0x0c17,push,word ptr [0x5b44],0x5b44,"0x0c14:stosb byte ptr es:[di], al || 0x0c15:push 0 || 0x0c17:push word ptr [0x5b44] || 0x0c1b:push word ptr [0x656e] || 0x0c1f:push word ptr [0x656c]"
0x0c33,div,word ptr [0x5b44],0x5b44,"0x0c2e:mov ax, 0x20 || 0x0c31:sub dx, dx || 0x0c33:div word ptr [0x5b44] || 0x0c37:mov word ptr [bp - 0x16], ax || 0x0c3a:mov word ptr [bp - 0x14], 0"
0x0c3f,mov,"ax, word ptr [0x5b74]",0x5b74,"0x0c37:mov word ptr [bp - 0x16], ax || 0x0c3a:mov word ptr [bp - 0x14], 0 || 0x0c3f:mov ax, word ptr [0x5b74] || 0x0c42:mov word ptr [bp - 0xa], ax || 0x0c45:mov word ptr [bp - 8], 0"
0x0c4f,cmp,"word ptr [0x5b76], 0",0x5b76,"0x0c45:mov word ptr [bp - 8], 0 || 0x0c4a:mov word ptr [bp - 0x20], 0 || 0x0c4f:cmp word ptr [0x5b76], 0 || 0x0c54:jne 0xc59 || 0x0c56:jmp 0xdf5"
