ins_addr,mnemonic,op_str,global_off,context
0x26c2,push,word ptr [0x5b70],0x5b70,"0x26bb:push word ptr [bp - 0x12] || 0x26be:push word ptr [0x5b72] || 0x26c2:push word ptr [0x5b70] || 0x26c6:push word ptr [bp + 6] || 0x26c9:lcall 0x2f7, 0x24c"
0x27ee,mov,"al, byte ptr [0x5b68]",0x5b68,"0x27e9:mov ax, word ptr [0x9e] || 0x27ec:jmp 0x27f4 || 0x27ee:mov al, byte ptr [0x5b68] || 0x27f1:and ax, 1 || 0x27f4:mov word ptr [bp - 2], ax"
0x2807,push,word ptr [0x5b72],0x5b72,0x2801:push word ptr [bp - 0x10] || 0x2804:push word ptr [bp - 0x12] || 0x2807:push word ptr [0x5b72] || 0x280b:push word ptr [0x5b70] || 0x280f:push word ptr [bp + 6]
0x280b,push,word ptr [0x5b70],0x5b70,"0x2804:push word ptr [bp - 0x12] || 0x2807:push word ptr [0x5b72] || 0x280b:push word ptr [0x5b70] || 0x280f:push word ptr [bp + 6] || 0x2812:lcall 0x2f7, 0x24c"
0x2a8e,mov,"al, byte ptr [0x5b68]",0x5b68,"0x2a89:mov ax, word ptr [0x9e] || 0x2a8c:jmp 0x2a94 || 0x2a8e:mov al, byte ptr [0x5b68] || 0x2a91:and ax, 1 || 0x2a94:mov word ptr [bp - 2], ax"
0x2aa7,push,word ptr [0x5b72],0x5b72,0x2aa1:push word ptr [bp - 0x10] || 0x2aa4:push word ptr [bp - 0x12] || 0x2aa7:push word ptr [0x5b72] || 0x2aab:push word ptr [0x5b70] || 0x2aaf:push word ptr [bp + 6]
0x2aab,push,word ptr [0x5b70],0x5b70,"0x2aa4:push word ptr [bp - 0x12] || 0x2aa7:push word ptr [0x5b72] || 0x2aab:push word ptr [0x5b70] || 0x2aaf:push word ptr [bp + 6] || 0x2ab2:lcall 0x2f7, 0x24c"
0x2c82,mov,"ax, word ptr [0x5b48]",0x5b48,"0x2c7c:mov word ptr [bp - 0xc], ax || 0x2c7f:mov word ptr [bp - 0xe], ax || 0x2c82:mov ax, word ptr [0x5b48] || 0x2c85:mov dx, word ptr [0x5b4a] || 0x2c89:cmp word ptr [bp + 8], dx"
0x2c85,mov,"dx, word ptr [0x5b4a]",0x5b4a,"0x2c7f:mov word ptr [bp - 0xe], ax || 0x2c82:mov ax, word ptr [0x5b48] || 0x2c85:mov dx, word ptr [0x5b4a] || 0x2c89:cmp word ptr [bp + 8], dx || 0x2c8c:jbe 0x2c91"
0x2ca7,cmp,"dx, word ptr [0x5b4a]",0x5b4a,"0x2ca1:add ax, word ptr [bp + 6] || 0x2ca4:adc dx, word ptr [bp + 8] || 0x2ca7:cmp dx, word ptr [0x5b4a] || 0x2cab:jbe 0x2cb0 || 0x2cad:jmp 0x2dda"
0x2cb2,cmp,"ax, word ptr [0x5b48]",0x5b48,"0x2cad:jmp 0x2dda || 0x2cb0:jb 0x2cbb || 0x2cb2:cmp ax, word ptr [0x5b48] || 0x2cb6:jbe 0x2cbb || 0x2cb8:jmp 0x2dda"
0x2e03,mov,"ax, word ptr [0x5b7a]",0x5b7a,"0x2dfe:enter 0xa, 0 || 0x2e02:push si || 0x2e03:mov ax, word ptr [0x5b7a] || 0x2e06:shl ax, 9 || 0x2e09:cmp word ptr [bp + 8], ax"
0x2e2e,add,"ax, word ptr [0x5b78]",0x5b78,"0x2e28:mov ax, word ptr [bp + 8] || 0x2e2b:shr ax, 9 || 0x2e2e:add ax, word ptr [0x5b78] || 0x2e32:mov word ptr [bp - 4], ax || 0x2e35:mov word ptr [bp - 2], 0"
0x2e46,mov,"al, byte ptr [0x5b68]",0x5b68,"0x2e41:mov ax, word ptr [0x9e] || 0x2e44:jmp 0x2e4c || 0x2e46:mov al, byte ptr [0x5b68] || 0x2e49:and ax, 1 || 0x2e4c:mov word ptr [bp - 6], ax"
0x2e5f,push,word ptr [0x5b72],0x5b72,0x2e59:push word ptr [bp - 2] || 0x2e5c:push word ptr [bp - 4] || 0x2e5f:push word ptr [0x5b72] || 0x2e63:push word ptr [0x5b70] || 0x2e67:push word ptr [bp + 6]
0x2e63,push,word ptr [0x5b70],0x5b70,"0x2e5c:push word ptr [bp - 4] || 0x2e5f:push word ptr [0x5b72] || 0x2e63:push word ptr [0x5b70] || 0x2e67:push word ptr [bp + 6] || 0x2e6a:lcall 0x2f7, 0x24c"
0x2eba,mov,"ax, word ptr [0x5b70]",0x5b70,"0x2eb8:push di || 0x2eb9:push si || 0x2eba:mov ax, word ptr [0x5b70] || 0x2ebd:mov dx, word ptr [0x5b72] || 0x2ec1:mov word ptr [bp - 4], ax"
0x2ebd,mov,"dx, word ptr [0x5b72]",0x5b72,"0x2eb9:push si || 0x2eba:mov ax, word ptr [0x5b70] || 0x2ebd:mov dx, word ptr [0x5b72] || 0x2ec1:mov word ptr [bp - 4], ax || 0x2ec4:mov word ptr [bp - 2], dx"
0x2ecc,mov,"al, byte ptr [0x5b7a]",0x5b7a,"0x2ec4:mov word ptr [bp - 2], dx || 0x2ec7:mov word ptr [bp - 6], 0 || 0x2ecc:mov al, byte ptr [0x5b7a] || 0x2ecf:and al, 0x7f || 0x2ed1:jne 0x2ed6"
0x2f67,mov,"ax, word ptr [0x5b7a]",0x5b7a,"0x2f60:adc word ptr [bp - 2], 0 || 0x2f64:mov word ptr [bp - 6], di || 0x2f67:mov ax, word ptr [0x5b7a] || 0x2f6a:shl ax, 9 || 0x2f6d:cmp ax, di"
