file,page_index_1based,fixup_rec_off,fixup_next_off,span
w95/extract/us/mdfsd.vxd,59,691,698,7
w95/extract/us/mdfsd.vxd,60,698,728,30
w95/extract/us/mdfsd.vxd,61,728,735,7
w95/extract/us/mdfsd.vxd,62,735,775,40
w95/extract/us/mdfsd.vxd,63,775,849,74
w95/extract/us/mdfsd.vxd,64,849,881,32
w95/extract/us/mdfsd.vxd,65,881,881,0
w95/extract/us/mdfsd.vxd,66,881,895,14
w95/extract/us/mdfsd.vxd,67,895,968,73
w95/extract/us/mdfsd.vxd,68,968,982,14
w95/extract/us/mdfsd.vxd,69,982,989,7
w95/extract/us/mdfsd.vxd,70,989,1013,24
w95/extract/us/mdfsd.vxd,71,1013,1046,33
w95/extract/us/mdfsd.vxd,72,1046,1046,0
w95/extract/us/mdfsd.vxd,73,1046,1060,14
w95/extract/us/mdfsd.vxd,74,1060,1060,0
w95/extract/us/mdfsd.vxd,75,1060,1070,10
w95/extract/us/mdfsd.vxd,76,1070,1096,26
w95/extract/us/mdfsd.vxd,77,1096,1110,14
w95/extract/us/mdfsd.vxd,78,1110,1120,10
w95/extract/us/mdfsd.vxd,79,1120,1120,0
w95/extract/us/mdfsd.vxd,80,1120,1130,10
w95/extract/us/mdfsd.vxd,81,1130,1130,0
w95/extract/us/mdfsd.vxd,82,1130,1147,17
w95/extract/us/mdfsd.vxd,83,1147,1147,0
w95/extract/us/mdfsd.vxd,84,1147,1161,14
w95/extract/us/mdfsd.vxd,85,1161,1189,28
w95/extract/us/mdfsd.vxd,86,1189,1196,7
w95/extract/us/mdfsd.vxd,87,1196,1196,0
w95/extract/us/mdfsd.vxd,88,1196,1290,94
w95/extract/us/mdfsd.vxd,89,1290,1376,86
w95/extract/us/mdfsd.vxd,90,1376,1376,0
w95/extract/us/mdfsd.vxd,91,1376,1383,7
w95/extract/us/mdfsd.vxd,92,1383,1404,21
w95/extract/us/mdfsd.vxd,93,1404,1414,10
w95/extract/us/mdfsd.vxd,94,1414,1421,7
w95/extract/us/mdfsd.vxd,95,1421,1421,0
w95/extract/us/mdfsd.vxd,96,1421,1428,7
w95/extract/us/mdfsd.vxd,97,1428,1442,14
w95/extract/us/mdfsd.vxd,98,1442,1442,0
w95/extract/us/mdfsd.vxd,99,1442,1449,7
w95/extract/us/mdfsd.vxd,100,1449,1463,14
w95/extract/us/mdfsd.vxd,101,1463,1470,7
w95/extract/us/mdfsd.vxd,102,1470,1470,0
w95/extract/us/mdfsd.vxd,103,1470,1484,14
w95/extract/us/mdfsd.vxd,104,1484,1491,7
w95/extract/us/mdfsd.vxd,105,1491,1498,7
w95/extract/us/mdfsd.vxd,106,1498,1505,7
w95/extract/us/mdfsd.vxd,107,1505,1519,14
w95/extract/us/mdfsd.vxd,108,1519,1540,21
w95/extract/us/mdfsd.vxd,109,1540,1560,20
w95/extract/us/mdfsd.vxd,110,1560,1560,0
w95/extract/us/mdfsd.vxd,111,1560,1567,7
w95/extract/us/mdfsd.vxd,112,1567,1577,10
w95/extract/us/mdfsd.vxd,113,1577,1584,7
w95/extract/us/mdfsd.vxd,114,1584,1598,14
w95/extract/us/mdfsd.vxd,115,1598,1598,0
w95/extract/us/mdfsd.vxd,116,1598,1598,0
w95/extract/us/mdfsd.vxd,117,1598,1598,0
w95/extract/us/mdfsd.vxd,118,1598,1605,7
w95/extract/us/mdfsd.vxd,119,1605,1612,7
w95/extract/us/mdfsd.vxd,120,1612,1612,0
w95/extract/us/mdfsd.vxd,121,1612,1612,0
w95/extract/us/mdfsd.vxd,122,1612,1619,7
w95/extract/us/mdfsd.vxd,123,1619,1626,7
w95/extract/us/mdfsd.vxd,124,1626,1626,0
w95/extract/us/mdfsd.vxd,125,1626,1633,7
w95/extract/us/mdfsd.vxd,126,1633,1655,22
w95/extract/us/mdfsd.vxd,127,1655,1655,0
w95/extract/us/mdfsd.vxd,128,1655,1655,0
w95/extract/us/mdfsd.vxd,129,1655,1655,0
w95/extract/us/mdfsd.vxd,130,1655,1655,0
w95/extract/us/mdfsd.vxd,131,1655,1675,20
w95/extract/us/mdfsd.vxd,132,1675,1691,16
w95/extract/us/mdfsd.vxd,133,1691,1729,38
w95/extract/us/mdfsd.vxd,134,1729,1752,23
w95/extract/us/mdfsd.vxd,135,1752,1776,24
w95/extract/us/mdfsd.vxd,136,1776,1922,146
w95/extract/us/mdfsd.vxd,137,1922,1993,71
w95/extract/us/mdfsd.vxd,138,1993,2131,138
w95/extract/us/mdfsd.vxd,139,2131,2165,34
w95/extract/us/mdfsd.vxd,140,2165,2202,37
w95/extract/us/mdfsd.vxd,141,2202,2274,72
w95/extract/us/mdfsd.vxd,142,2274,2337,63
w95/extract/us/mdfsd.vxd,143,2337,2351,14
w95/extract/us/mdfsd.vxd,144,2351,2372,21
w95/extract/us/mdfsd.vxd,145,2372,2372,0
w95/extract/us/mdfsd.vxd,146,2372,2372,0
w95/extract/us/mdfsd.vxd,147,2372,2382,10
