tool,site,phase,cs_ip,ax,bx,cx,dx,ds,es,ss_sp,buf_ptr,buf_len,buf_hex_prefix,notes
mdcache_on,int21_44xx,pre,0008:99db,0x4400,0x4400,0x0087,0x0087,0x0010,,0010:6fc0,0010:0087,0x0087,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,0008:99df,0x4400,0x4400,0x0087,0x0087,0x0010,,0010:6fc0,0010:0087,0x0087,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:0049,0x4400,0x0200,0x0000,0x0000,0x00d8,,00d8:0862,00d8:0000,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:119f,0x4400,0x0000,0x0017,0x0000,0x1f9e,,1f9e:3dbe,1f9e:0000,0x0017,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a6,0x4400,0x0000,0x0017,0x0000,0x1f9e,,1f9e:3dbe,1f9e:0000,0x0017,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a7,0x4400,0x0000,0x0017,0x0000,0x1f9e,,1f9e:3dbe,1f9e:0000,0x0017,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,00d8:01a8,0x4400,0x0000,0x0017,0x0000,0x00d8,,1f9e:3dbc,00d8:0000,0x0017,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:119f,0x4400,0x0001,0x0200,0x0000,0x1f9e,,1f9e:3dbe,1f9e:0000,0x0200,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a6,0x4400,0x0001,0x0200,0x0000,0x1f9e,,1f9e:3dbe,1f9e:0000,0x0200,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a7,0x4400,0x0001,0x0200,0x0000,0x1f9e,,1f9e:3dbe,1f9e:0000,0x0200,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,00d8:01a8,0x4400,0x0001,0x0200,0x0000,0x00d8,,1f9e:3dbc,00d8:0000,0x0200,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:119f,0x4400,0x0005,0x0000,0x8001,0x1f9e,,1f9e:3d48,1f9e:8001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a6,0x4400,0x0005,0x0000,0x8001,0x1f9e,,1f9e:3d48,1f9e:8001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a7,0x4400,0x0005,0x0000,0x8001,0x1f9e,,1f9e:3d48,1f9e:8001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,00d8:01a8,0x4400,0x0005,0x0000,0x8001,0x00d8,,1f9e:3d46,00d8:8001,0x0000,,ax_subfunc=0x00
